dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,mapping_status
O*NET Database,31.0,technology,onet_software_skills,2.E.2.b|AcornSystems Corporate Performance Management,AcornSystems Corporate Performance Management,Enterprise resource planning ERP software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.a|AcorynSystems Activity Based Costing/Management ABC/M,AcorynSystems Activity Based Costing/Management ABC/M,Accounting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.15.f|Acronis Recovery Expert,Acronis Recovery Expert,Backup or archival software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.c|Act!,Act!,Customer relationship management CRM software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.10.d|Active directory software,Active directory software,Internet directory services software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.e|Actuate Eclipse BIRT,Actuate Eclipse BIRT,Data base reporting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Ada,Ada,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.a|AdaptaSoft CyberPay,AdaptaSoft CyberPay,Accounting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|Adaptive conjoint analysis ACA software,Adaptive conjoint analysis ACA software,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.i|Adaptive Metadata Manager,Adaptive Metadata Manager,Metadata management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Adeptia ETL Suite,Adeptia ETL Suite,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|ADO.NET,ADO.NET,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|ADO.NET,ADO.NET,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.5.b|Adobe Acrobat,Adobe Acrobat,Document management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Adobe ActionScript,Adobe ActionScript,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.c|Adobe After Effects,Adobe After Effects,Video creation and editing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Adobe AIR,Adobe AIR,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|Adobe Analytics,Adobe Analytics,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Adobe ColdFusion,Adobe ColdFusion,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe Creative Cloud software,Adobe Creative Cloud software,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.c|Adobe Director,Adobe Director,Video creation and editing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe Distiller,Adobe Distiller,Desktop publishing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.g|Adobe Dreamweaver,Adobe Dreamweaver,Web page creation and editing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Adobe Flex,Adobe Flex,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe FrameMaker,Adobe FrameMaker,Desktop publishing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe FreeHand MX,Adobe FreeHand MX,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.c|Adobe Human Capital Application Solution Accelerator,Adobe Human Capital Application Solution Accelerator,Human resources software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe Illustrator,Adobe Illustrator,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe ImageReady,Adobe ImageReady,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe InDesign,Adobe InDesign,Desktop publishing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.5.b|Adobe LifeCycle Enterprise Suite,Adobe LifeCycle Enterprise Suite,Document management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.g|Adobe Macromedia HomeSite,Adobe Macromedia HomeSite,Web page creation and editing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe PageMaker,Adobe PageMaker,Desktop publishing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe Photoshop,Adobe Photoshop,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.c|Adobe Premiere Pro,Adobe Premiere Pro,Video creation and editing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe XD,Adobe XD,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.e|ADP Super Report Writer,ADP Super Report Writer,Data base reporting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.c|ADP Workforce Now,ADP Workforce Now,Human resources software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Advanced boolean expression language ABEL,Advanced boolean expression language ABEL,Development environment software,,pending
