career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.a|Citrix cloud computing software,Citrix cloud computing software,2.E.12.a,Access software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.a|Citrix cloud computing software,Citrix cloud computing software,2.E.12.a,Access software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Common business oriented language COBOL,Common business oriented language COBOL,2.E.7.b,Development environment software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|Common business oriented language COBOL,Common business oriented language COBOL,2.E.7.b,Development environment software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.a|Computer forensic software,Computer forensic software,2.E.13.a,Filesystem software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.a|Computer forensic software,Computer forensic software,2.E.13.a,Filesystem software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.f|Conformance and validation testing software,Conformance and validation testing software,2.E.7.f,Program testing software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.f|Conformance and validation testing software,Conformance and validation testing software,2.E.7.f,Program testing software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.c|Cryptographic key management software,Cryptographic key management software,2.E.14.c,Network security and virtual private network VPN equipment software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.c|Cryptographic key management software,Cryptographic key management software,2.E.14.c,Network security and virtual private network VPN equipment software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.l|Customer information control system CICS,Customer information control system CICS,2.E.6.l,Transaction server software,N,N,true
