left_source,left_source_key,left_concept_type,left_external_id,left_name,right_source,right_source_key,right_concept_type,right_external_id,right_name,match_basis,name_similarity,description_overlap,ranking_score,review_status,review_reason
O*NET Database,O*NET Database|onet_knowledge|2.C.3.d,knowledge,2.C.3.d,Building and Construction,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,knowledge,http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,building automation,fuzzy_review:building automation,68.18,2.44,55.03,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.3.d,knowledge,2.C.3.d,Building and Construction,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/dada8e80-2a53-41bf-9eac-f8c1f9971bed,knowledge,http://data.europa.eu/esco/skill/dada8e80-2a53-41bf-9eac-f8c1f9971bed,sustainable building materials,fuzzy_review:green building nanocoating,62.75,0.0,50.2,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.c,knowledge,2.C.4.c,Chemistry,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/73777be0-65f2-48b6-a9a7-50066ee521bd,knowledge,http://data.europa.eu/esco/skill/73777be0-65f2-48b6-a9a7-50066ee521bd,geochemistry,fuzzy_review:geochemistry,85.71,6.25,69.82,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.c,knowledge,2.C.4.c,Chemistry,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7,knowledge,http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7,blueprints,fuzzy_review:schematics,63.16,0.0,50.53,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.4.c,knowledge,2.C.4.c,Chemistry,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/f9f258e3-4728-4107-9e08-293d5d2ef65e,knowledge,http://data.europa.eu/esco/skill/f9f258e3-4728-4107-9e08-293d5d2ef65e,psychiatry,fuzzy_review:psychiatry,63.16,0.0,50.53,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.9.b,knowledge,2.C.9.b,Communications and Media,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248,knowledge,http://data.europa.eu/esco/skill/5898d99a-62a4-4e10-a2e3-0d815ce44248,cyber attack counter-measures,fuzzy_review:network communications security measures,59.38,1.54,47.81,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.9.b,knowledge,2.C.9.b,Communications and Media,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b,knowledge,http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b,ICT communications protocols,fuzzy_review:IT communications protocols,58.82,3.33,47.72,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.9.b,knowledge,2.C.9.b,Communications and Media,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,knowledge,http://data.europa.eu/esco/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,business communication,fuzzy_review:business communication,56.52,0.0,45.22,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.3.a,knowledge,2.C.3.a,Computers and Electronics,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,knowledge,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,electronics,fuzzy_review:aspects of electronics,68.09,56.25,65.72,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_knowledge|2.C.3.a,knowledge,2.C.3.a,Computers and Electronics,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/e66cd71d-371c-4f82-8bce-b220b8c2d6ea,knowledge,http://data.europa.eu/esco/skill/e66cd71d-371c-4f82-8bce-b220b8c2d6ea,optoelectronics,fuzzy_review:opto-electronics,73.17,4.17,59.37,pending,Fuzzy candidate only. Do not merge without manual review.
